,team_name,team_id,matches,season,pace,ortg,drtg,efg%,ts%,ppt2,vol2p,ppt3,vol3p,pptl,ftr,dr%,or%,tr%,ast%,st%,to%,blk%,four_factors,ortg_opp,drtg_opp,efg%_opp,ts%_opp,ppt2_opp,vol2p_opp,ppt3_opp,vol3p_opp,pptl_opp,ftr_opp,dr%_opp,or%_opp,tr%_opp,ast%_opp,st%_opp,to%_opp,blk%_opp,four_factors_opp
10,KK Krka,10,16,2022/2023,70.07039999999999,122.55531579668448,111.58420674064942,57.70811921891059,61.2933157274901,1.1840277777777777,59.1983556012333,1.1108312342569269,40.8016443987667,0.7470238095238095,34.53237410071942,76.3671875,31.905781584582442,55.15832482124617,56.557377049180324,9.72236493583596,14.88411652136934,3.904923599320883,30.923230989246306,111.58420674064942,122.55531579668448,51.666666666666664,55.596046503359766,1.1103565365025467,59.494949494949495,0.9201995012468828,40.505050505050505,0.742671009771987,31.01010101010101,68.09421841541756,23.6328125,44.84167517875383,62.88888888888889,9.811560944421611,14.055672686161275,4.6875,26.530826146641502
11,KK MZT Skopje Aerodrom,32,17,2023/2024,70.6153411764706,114.7892542596976,110.95739236133323,52.25806451612903,56.268783483601204,1.10828025477707,57.88018433179724,0.9584245076586433,42.11981566820276,0.7697160883280757,29.216589861751153,69.31407942238268,24.508050089445437,46.81042228212039,54.655870445344135,10.495969547693685,11.747917087093148,8.919382504288164,27.25034503183009,110.95739236133323,114.7892542596976,51.445086705202314,55.605650736399156,1.039451114922813,56.165703275529864,1.0153846153846153,43.834296724470136,0.7272727272727273,34.971098265895954,75.49194991055457,30.685920577617328,53.18957771787961,60.393873085339166,8.246833216045038,15.218868565603941,6.050955414012739,28.1561663960878
12,KK Pelister-Bitola,81,14,2022/2023,74.04617142857144,106.01493431125597,112.67101298957868,54.04157043879908,56.65883032252742,1.1327102803738318,61.77829099307159,0.9969788519637462,38.22170900692841,0.690677966101695,27.25173210161663,69.73995271867612,23.937360178970916,46.206896551724135,62.227602905569015,12.251043364449053,18.283846179771494,4.743833017077799,25.920898481613442,112.67101298957868,106.01493431125597,55.233219567690554,58.4,1.222011385199241,59.954493742889646,0.9289772727272727,40.045506257110354,0.7163636363636363,31.28555176336746,76.06263982102908,30.260047281323878,53.793103448275865,64.2691415313225,10.804069738726724,17.627677100494235,7.4766355140186915,28.43121077272256
13,KK Pelister-Bitola,81,13,2023/2024,71.8848,107.43685623493316,111.61020025202717,50.1865671641791,54.24446749654218,1.064102564102564,58.208955223880594,0.9196428571428571,41.791044776119406,0.7137681159420289,34.32835820895522,68.91891891891892,26.08695652173913,47.67309875141884,63.06818181818182,10.058829169406092,14.89737364820128,6.066945606694561,26.716928489312433,111.61020025202717,107.43685623493316,52.61593341260404,55.50470432968624,1.1673640167364017,56.837098692033294,0.9008264462809917,43.162901307966706,0.7053571428571429,26.634958382877528,73.91304347826087,31.08108108108108,52.32690124858116,59.02061855670103,8.988740959894807,15.70126327878266,7.6923076923076925,27.332517518993797
14,KK Podgorica Bemax,75,15,2022/2023,71.24224000000001,111.2635799585564,99.1920897864338,51.716738197424895,54.98723593177698,1.1197301854974704,63.62660944206009,0.8849557522123894,36.37339055793991,0.6637168141592921,36.37339055793991,71.0762331838565,30.632411067193676,49.57983193277311,56.481481481481474,12.820109717680596,14.745773403986878,4.935622317596566,28.582742725102964,99.1920897864338,111.2635799585564,49.76047904191617,54.07059783717608,1.055793991416309,55.808383233532936,0.9186991869918699,44.191616766467064,0.693939393939394,39.52095808383233,69.36758893280633,28.923766816143498,50.42016806722689,59.610027855153206,8.609124773916896,20.8366984332095,5.227655986509275,26.407914084267645
15,KK Podgorica Bemax,75,17,2023/2024,71.54597647058824,114.44718065290142,112.63838900465156,53.53440150801131,57.61780191397066,1.119186046511628,64.8444863336475,0.9812332439678284,35.1555136663525,0.7664670658682635,31.479736098020734,74.4186046511628,26.857142857142858,51.38376383763838,52.071005917159766,8.303998021510807,14.204949004233075,6.830122591943958,27.95591233827794,112.63838900465156,114.44718065290142,52.798507462686565,56.35819127229645,1.1313485113835378,53.264925373134325,0.9700598802395209,46.735074626865675,0.7300613496932515,30.41044776119403,73.14285714285714,25.58139534883721,48.61623616236162,63.50515463917525,8.303998021510807,13.64178934803615,5.523255813953488,27.386801882012136
16,KK Sloga,86,13,2022/2023,74.38375384615384,105.79233182431895,110.03229820241972,52.55164034021871,55.16133206798378,1.1417769376181475,64.27703523693803,0.8877551020408163,35.72296476306197,0.6666666666666666,28.79708383961118,67.84869976359339,26.265060240963855,47.25536992840095,55.52699228791774,11.789174807402112,16.93123589063676,6.732673267326732,26.360421787562746,110.03229820241972,105.79233182431895,52.86396181384248,55.83308845136644,1.100990099009901,60.26252983293556,0.990990990990991,39.73747016706444,0.6819923371647509,31.14558472553699,73.73493975903614,32.15130023640662,52.74463007159905,60.567010309278345,11.27210573690202,17.49160056804406,4.3478260869565215,27.87478233963785
17,KK Spartak Office Shoes,91,19,2023/2024,70.83587368421053,119.7727942784863,105.28414980931457,55.86176727909012,59.927432786105165,1.1420289855072463,60.36745406824147,1.0794701986754967,39.63254593175853,0.7298474945533769,40.15748031496063,76.98541329011346,34.28063943161634,56.610169491525426,66.42728904847397,8.544585199767944,15.674374278978783,11.637931034482758,31.305863275458712,105.28414980931457,119.7727942784863,48.85008517887564,53.31557401721751,1.0316091954022988,59.28449744463373,0.897489539748954,40.71550255536627,0.7670454545454546,29.98296422487223,65.71936056838366,23.014586709886547,43.389830508474574,50.59760956175299,10.104900757986439,14.314453729495511,6.086956521739131,25.06178261488452
18,KK Sutjeska Elektroprivreda,37,14,2022/2023,71.3664,106.59277835427956,103.18981641620869,49.31584948688712,52.683129526297044,1.1069609507640068,67.16077537058152,0.7395833333333334,32.839224629418474,0.6578947368421053,34.6636259977195,71.52173913043478,29.54048140043764,50.59978189749182,64.23173803526448,10.308972930038305,14.033476219636661,6.581740976645436,27.325610919591135,103.18981641620869,106.59277835427956,50.30487804878049,53.825752829637054,1.0445859872611465,57.4390243902439,0.9541547277936963,42.5609756097561,0.65814696485623,38.170731707317074,70.45951859956236,28.47826086956522,49.40021810250818,61.62464985994398,8.00696926604917,16.84437189594693,4.753820033955857,27.33212017553607
19,KK Sutjeska Elektroprivreda,37,15,2023/2024,71.72864,107.25608813067325,110.32320330252092,51.1037527593819,54.91263466443337,1.0398481973434535,58.16777041942605,0.9973614775725593,41.83222958057395,0.6930091185410334,36.31346578366446,75.7085020242915,22.38193018480493,49.235474006116206,65.25,7.342487835635343,14.55568566224304,7.183364839319471,26.725985592702656,110.32320330252092,107.25608813067325,52.27032734952481,55.45692393945056,1.1568998109640831,55.86061246040127,0.9043062200956937,44.13938753959873,0.7035714285714286,29.56705385427666,77.61806981519507,24.291497975708502,50.764525993883794,55.78703703703704,10.22371723949225,13.846401545644824,5.1233396584440225,26.73988822668192
20,KK TFT Mozzart Skopje,87,13,2022/2023,73.49464615384615,102.99023351151482,118.16663987245958,53.05343511450382,55.703998913092704,1.0305882352941176,54.07124681933842,1.0969529085872576,45.92875318066158,0.6787330316742082,28.11704834605598,66.11374407582939,19.602977667493796,43.39393939393939,57.26495726495726,11.40847098857227,17.780011915400657,7.074569789674952,24.914523852358517,118.16663987245958,102.99023351151482,56.97258641239571,59.15454583560381,1.24282982791587,62.33611442193087,0.9683544303797469,37.66388557806913,0.6603053435114504,31.227651966626937,80.3970223325062,33.88625592417062,56.60606060606061,70.02341920374707,10.361822274024357,16.531383388146388,6.588235294117647,30.11758769774985
21,KK TFT Mozzart Skopje,87,13,2023/2024,69.81710769230769,100.48231511254019,116.01740988322898,50.44929396662388,52.56847735866458,1.082191780821918,56.22593068035943,0.9149560117302052,43.77406931964057,0.6268656716417911,25.802310654685495,68.7192118226601,21.28146453089245,44.12811387900356,57.478005865102645,8.704060190669601,16.467008204614615,6.8893528183716075,24.189605039877215,116.01740988322898,100.48231511254019,52.36270753512133,57.101644180295864,1.1356993736951984,61.17496807151979,0.9078947368421053,38.82503192848021,0.7373417721518988,40.357598978288635,78.71853546910755,31.2807881773399,55.87188612099644,70.32967032967034,9.03459412196085,15.022487650224877,8.219178082191782,29.499258583703593
22,KK Vojvodina mts,82,19,2023/2024,71.43612631578947,112.35653727908863,102.1891916105547,49.75349219391948,54.12254052979757,1.0930232558139534,56.53245686113394,0.8676748582230623,43.46754313886606,0.7201834862385321,35.82580115036976,76.72131147540983,31.546707503828483,53.36500395882819,59.54631379962193,10.756757011637339,13.025977874357961,7.255520504731861,28.32811408229946,102.1891916105547,112.35653727908863,48.82608695652174,53.20046641504802,1.0094637223974763,55.130434782608695,0.936046511627907,44.869565217391305,0.7564469914040115,30.347826086956523,68.45329249617151,23.278688524590162,46.63499604117181,56.13305613305614,7.4413182066806245,16.0380275158448,6.25,24.728839521609007
23,KK Vrijednosnice Osijek,83,13,2022/2023,71.78436923076923,101.15765506268346,117.23143499849122,49.49748743718593,52.556565116693385,1.0666666666666667,60.301507537688444,0.8734177215189873,39.698492462311556,0.6724137931034483,29.14572864321608,68.21515892420538,25.52204176334107,46.30952380952381,58.620689655172406,8.251207033714646,17.004288037853023,3.8095238095238093,25.024190614561746,117.23143499849122,101.15765506268346,54.39356435643565,58.27331998125026,1.1085714285714285,64.97524752475248,1.0494699646643109,35.024752475247524,0.7239057239057239,36.757425742574256,74.47795823665894,31.78484107579462,53.69047619047619,61.53846153846154,11.787438619592352,13.698882024124742,7.708333333333333,30.203287313088136
24,KK Zlatibor Mozzart,70,14,2022/2023,70.96868571428571,119.16724639921672,111.81994151142717,56.767794632438736,60.287588089127865,1.1223628691983123,55.309218203033836,1.1514360313315928,44.690781796966164,0.7429577464788732,33.13885647607935,77.48344370860927,30.73394495412844,54.55568053993251,66.58595641646488,8.957673082373553,15.99712565015056,4.3478260869565215,29.825453902675445,111.81994151142717,119.16724639921672,53.139013452914796,55.83139020664147,1.137391304347826,64.46188340807174,0.9274447949526814,35.53811659192825,0.6965811965811965,26.233183856502244,69.26605504587155,22.516556291390728,45.44431946006749,51.52941176470588,11.47387338641107,13.252423798563157,5.485232067510548,26.380788268278614
25,KK Zlatibor Mozzart,70,15,2023/2024,71.54688,124.30078479080197,115.44877987691429,58.842794759825324,63.16766421698613,1.1958762886597938,52.94759825327511,1.1554524361948957,47.05240174672489,0.8050314465408805,34.71615720524017,73.9463601532567,27.378190255220417,52.885624344176286,64.47368421052632,6.895245932923048,14.56404945303903,4.952076677316294,30.579167172500483,115.44877987691429,124.30078479080197,51.90571715145436,55.346102991101745,1.0447284345047922,62.788365095285855,1.0269541778975741,37.211634904714145,0.7338129496402878,27.883650952858577,72.62180974477958,26.053639846743295,47.114375655823714,57.048458149779734,9.224720910261915,11.6084402046876,7.835051546391752,27.253452421687292
26,KK Šibenka,23,13,2023/2024,74.10609230769231,100.68724755527212,112.83199803358843,49.87669543773119,53.738421309223064,1.0510638297872341,57.95314426633785,0.9237536656891495,42.04685573366215,0.7740384615384616,25.64734895191122,72.88503253796095,23.58490566037736,49.26553672316384,51.13636363636363,7.266090029761905,18.214441061331012,7.43801652892562,23.96115138462188,112.83199803358843,100.68724755527212,50.57142857142857,54.9567222132341,1.0537190082644627,55.31428571428572,0.959079283887468,44.68571428571428,0.7799227799227799,29.6,76.41509433962264,27.114967462039047,50.73446327683616,63.68421052631579,12.559955622874151,11.696846315939855,6.595744680851064,27.167353341994275
27,OKK Spars,61,13,2022/2023,74.98043076923078,98.69241779598697,118.28727413593865,49.39613526570049,52.036003288761954,1.0627450980392157,61.594202898550726,0.8679245283018868,38.405797101449274,0.6575342465753424,26.44927536231884,69.90521327014218,24.50765864332604,46.30261660978385,59.22865013774105,9.027996638302342,18.006670451319902,3.225806451612903,24.125709526463254,118.28727413593865,98.69241779598697,57.57918552036199,59.33756021244185,1.157706093189964,63.12217194570136,1.1411042944785277,36.87782805429864,0.678391959798995,22.511312217194572,75.49234135667396,30.09478672985782,53.69738339021615,61.521252796420576,11.592768410547325,14.742532205412616,6.470588235294118,28.741695335342392
