,week,match,w/l,pts,fg%,fg2m,fg2a,fg2%,fg3m,fg3a,fg3%,ftm,fta,ft%,dr,or,tr,ass,st,to,blk,blk_ag,fp,fd,val,team_name,match_link,team_id,season
348,1,TFT-Zlatibor,L,74.0,49.2,25.0,41.0,61.0,6.0,22.0,27.3,6.0,11.0,54.5,21.0,8.0,29.0,16.0,8.0,14.0,4.0,5.0,25.0,19.0,69.0,KK TFT Mozzart Skopje,/match/7/23/2/Boxscore/q1/1/home/tft-mozzart-skopje-zlatibor-mozzart/,87,2023/2024
349,2,Široki-TFT,L,66.0,46.4,20.0,34.0,58.8,6.0,22.0,27.3,8.0,9.0,88.9,16.0,7.0,23.0,17.0,3.0,12.0,1.0,0.0,18.0,15.0,64.0,KK TFT Mozzart Skopje,/match/9/23/2/Boxscore/q1/1/home/siroki-tt-kabeli-tft-mozzart-skopje/,87,2023/2024
350,3,TFT-Ced Jr.,W,78.0,45.5,23.0,40.0,57.5,7.0,26.0,26.9,11.0,15.0,73.3,22.0,9.0,31.0,14.0,10.0,10.0,3.0,4.0,21.0,21.0,82.0,KK TFT Mozzart Skopje,/match/20/23/2/Boxscore/q1/1/home/tft-mozzart-skopje-cedevita-junior/,87,2023/2024
351,4,Pelister-TFT,L,79.0,45.5,20.0,40.0,50.0,10.0,26.0,38.5,9.0,17.0,52.9,24.0,9.0,33.0,13.0,5.0,12.0,3.0,2.0,28.0,22.0,69.0,KK TFT Mozzart Skopje,/match/24/23/2/Boxscore/q1/1/home/pelister-bitola-tft-mozzart-skopje/,87,2023/2024
352,5,TFT-Helios,L,63.0,39.7,18.0,38.0,47.4,7.0,25.0,28.0,6.0,9.0,66.7,21.0,7.0,28.0,10.0,3.0,12.0,3.0,5.0,24.0,15.0,40.0,KK TFT Mozzart Skopje,/match/33/23/2/Boxscore/q1/1/home/tft-mozzart-skopje-kansai-helios-domzale/,87,2023/2024
353,6,Sutjeska-TFT,L,60.0,34.9,13.0,26.0,50.0,9.0,37.0,24.3,7.0,19.0,36.8,24.0,12.0,36.0,14.0,8.0,15.0,2.0,5.0,25.0,17.0,39.0,KK TFT Mozzart Skopje,/match/39/23/2/Boxscore/q1/1/home/sutjeska-elektroprivreda-tft-mozzart-skopje/,87,2023/2024
354,7,TFT-Borac BL,L,65.0,45.1,16.0,30.0,53.3,7.0,21.0,33.3,12.0,19.0,63.2,20.0,5.0,25.0,17.0,8.0,14.0,1.0,0.0,24.0,20.0,63.0,KK TFT Mozzart Skopje,/match/46/23/2/Boxscore/q1/1/home/tft-mozzart-skopje-borac-wwin/,87,2023/2024
355,8,Podgorica-TFT,L,83.0,53.6,20.0,32.0,62.5,10.0,24.0,41.7,13.0,22.0,59.1,24.0,3.0,27.0,15.0,5.0,14.0,2.0,1.0,26.0,20.0,76.0,KK TFT Mozzart Skopje,/match/54/23/2/Boxscore/q1/1/home/podgorica-bemax-tft-mozzart-skopje/,87,2023/2024
356,9,TFT-Spartak,L,64.0,40.6,18.0,40.0,45.0,8.0,24.0,33.3,4.0,7.0,57.1,18.0,4.0,22.0,15.0,3.0,12.0,1.0,8.0,22.0,14.0,36.0,KK TFT Mozzart Skopje,/match/59/23/2/Boxscore/q1/1/home/tft-mozzart-skopje-spartak-office-shoes/,87,2023/2024
357,10,GGD Šenčur-TFT,W,85.0,50.0,19.0,32.0,59.4,10.0,26.0,38.5,17.0,21.0,81.0,27.0,9.0,36.0,15.0,6.0,20.0,4.0,1.0,24.0,24.0,92.0,KK TFT Mozzart Skopje,/match/69/23/2/Boxscore/q1/1/home/ggd-sencur-tft-mozzart-skopje/,87,2023/2024
358,11,TFT-MZT Skopje,L,69.0,43.1,15.0,29.0,51.7,10.0,29.0,34.5,9.0,16.0,56.3,16.0,7.0,23.0,16.0,7.0,12.0,3.0,2.0,25.0,20.0,59.0,KK TFT Mozzart Skopje,/match/72/23/2/Boxscore/q1/1/home/tft-mozzart-skopje-mzt-skopje-aerodrom/,87,2023/2024
359,12,Vojvodina-TFT,L,50.0,32.7,14.0,27.0,51.9,4.0,28.0,14.3,10.0,13.0,76.9,23.0,3.0,26.0,14.0,6.0,14.0,3.0,1.0,23.0,22.0,43.0,KK TFT Mozzart Skopje,/match/84/23/2/Boxscore/q1/1/home/vojvodina-mts-tft-mozzart-skopje/,87,2023/2024
360,13,TFT-Šibenka,L,76.0,43.3,16.0,29.0,55.2,10.0,31.0,32.3,14.0,23.0,60.9,23.0,10.0,33.0,20.0,7.0,10.0,3.0,2.0,28.0,20.0,76.0,KK TFT Mozzart Skopje,/match/85/23/2/Boxscore/q1/1/home/tft-mozzart-skopje-sibenka/,87,2023/2024
361,1,GGD Šenčur-Pelister,L,78.0,38.4,20.0,43.0,46.5,8.0,30.0,26.7,14.0,19.0,73.7,24.0,17.0,41.0,19.0,4.0,11.0,0.0,3.0,22.0,21.0,77.0,KK Gorenjska gradbena družba Šenčur,/match/4/23/2/Boxscore/q1/1/home/ggd-sencur-pelister-bitola/,88,2023/2024
362,2,Helios-GGD Šenčur,W,76.0,42.2,17.0,35.0,48.6,10.0,29.0,34.5,12.0,17.0,70.6,24.0,15.0,39.0,18.0,6.0,13.0,1.0,0.0,26.0,19.0,78.0,KK Gorenjska gradbena družba Šenčur,/match/12/23/2/Boxscore/q1/1/home/kansai-helios-domzale-ggd-sencur/,88,2023/2024
363,3,GGD Šenčur-Sutjeska,L,74.0,44.3,28.0,47.0,59.6,3.0,23.0,13.0,9.0,11.0,81.8,27.0,9.0,36.0,8.0,7.0,13.0,0.0,2.0,27.0,22.0,64.0,KK Gorenjska gradbena družba Šenčur,/match/17/23/2/Boxscore/q1/1/home/ggd-sencur-sutjeska-elektroprivreda/,88,2023/2024
364,4,Borac BL-GGD Šenčur,L,56.0,32.8,15.0,33.0,45.5,7.0,34.0,20.6,5.0,12.0,41.7,16.0,14.0,30.0,8.0,11.0,12.0,2.0,3.0,24.0,17.0,33.0,KK Gorenjska gradbena družba Šenčur,/match/27/23/2/Boxscore/q1/1/home/borac-wwin-ggd-sencur/,88,2023/2024
365,5,GGD Šenčur-Podgorica,W,71.0,42.4,22.0,37.0,59.5,6.0,29.0,20.7,9.0,15.0,60.0,23.0,7.0,30.0,15.0,7.0,11.0,3.0,2.0,24.0,17.0,62.0,KK Gorenjska gradbena družba Šenčur,/match/30/23/2/Boxscore/q1/1/home/ggd-sencur-podgorica-bemax/,88,2023/2024
366,6,Spartak-GGD Šenčur,L,76.0,45.9,21.0,39.0,53.8,7.0,22.0,31.8,13.0,17.0,76.5,18.0,7.0,25.0,19.0,5.0,15.0,1.0,4.0,29.0,19.0,60.0,KK Gorenjska gradbena družba Šenčur,/match/42/23/2/Boxscore/q1/1/home/spartak-office-shoes-ggd-sencur/,88,2023/2024
367,7,GGD Šenčur-Šibenka,W,78.0,45.9,24.0,40.0,60.0,4.0,21.0,19.0,18.0,25.0,72.0,28.0,8.0,36.0,18.0,12.0,8.0,5.0,2.0,18.0,23.0,104.0,KK Gorenjska gradbena družba Šenčur,/match/43/23/2/Boxscore/q1/1/home/ggd-sencur-sibenka/,88,2023/2024
368,8,GGD Šenčur-MZT Skopje,L,73.0,43.8,18.0,42.0,42.9,10.0,22.0,45.5,7.0,14.0,50.0,22.0,9.0,31.0,16.0,10.0,15.0,4.0,7.0,20.0,20.0,69.0,KK Gorenjska gradbena družba Šenčur,/match/56/23/2/Boxscore/q1/1/home/ggd-sencur-mzt-skopje-aerodrom/,88,2023/2024
369,9,Vojvodina-GGD Šenčur,L,73.0,46.9,21.0,36.0,58.3,9.0,28.0,32.1,4.0,4.0,100.0,15.0,9.0,24.0,13.0,4.0,16.0,0.0,5.0,22.0,17.0,54.0,KK Gorenjska gradbena družba Šenčur,/match/58/23/2/Boxscore/q1/1/home/vojvodina-mts-ggd-sencur/,88,2023/2024
370,10,GGD Šenčur-TFT,L,77.0,46.4,26.0,45.0,57.8,6.0,24.0,25.0,7.0,18.0,38.9,20.0,11.0,31.0,22.0,8.0,12.0,1.0,4.0,24.0,24.0,75.0,KK Gorenjska gradbena družba Šenčur,/match/69/23/2/Boxscore/q1/1/home/ggd-sencur-tft-mozzart-skopje/,88,2023/2024
